time_s,force_x,force_y,force_z,torque_x,torque_y,torque_z
0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0009646415710449219,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0019347667694091797,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0030031204223632812,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0040018558502197266,0.0,0.0,-0.0,0.0,0.0,-0.0
0.00493168830871582,0.0,0.0,-0.0,0.0,0.0,-0.0
0.005937099456787109,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0070111751556396484,0.0,0.0,-0.0,0.0,0.0,-0.0
0.008005619049072266,0.0,0.0,-0.0,0.0,0.0,-0.0
0.009004592895507812,0.0,0.0,-0.0,0.0,0.0,-0.0
0.009939193725585938,0.0,0.0,-0.0,0.0,0.0,-0.0
0.011024713516235352,0.0,0.0,-0.0,0.0,0.0,-0.0
0.011976003646850586,0.0,0.0,-0.0,0.0,0.0,-0.0
0.01294088363647461,0.0,0.0,-0.0,0.0,0.0,-0.0
0.013958215713500977,0.0,0.0,-0.0,0.0,0.0,-0.0
0.015014171600341797,0.0,0.0,-0.0,0.0,0.0,-0.0
0.015969038009643555,0.0,0.0,-0.0,0.0,0.0,-0.0
0.01700615882873535,0.0,0.0,-0.0,0.0,0.0,-0.0
0.017940521240234375,0.0,0.0,-0.0,0.0,0.0,-0.0
0.01896524429321289,0.0,0.0,-0.0,0.0,0.0,-0.0
0.019972801208496094,0.0,0.0,-0.0,0.0,0.0,-0.0
0.020940780639648438,0.0,0.0,-0.0,0.0,0.0,-0.0
0.02194952964782715,0.0,0.0,-0.0,0.0,0.0,-0.0
0.02297353744506836,0.0,0.0,-0.0,0.0,0.0,-0.0
0.02396416664123535,0.0,0.0,-0.0,0.0,0.0,-0.0
0.024964332580566406,0.0,0.0,-0.0,0.0,0.0,-0.0
0.025940895080566406,0.0,0.0,-0.0,0.0,0.0,-0.0
0.026970386505126953,0.0,0.0,-0.0,0.0,0.0,-0.0
0.027972936630249023,0.0,0.0,-0.0,0.0,0.0,-0.0
0.028984546661376953,0.0,0.0,-0.0,0.0,0.0,-0.0
0.029955148696899414,0.0,0.0,-0.0,0.0,0.0,-0.0
0.030965089797973633,0.0,0.0,-0.0,0.0,0.0,-0.0
0.031960248947143555,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03296065330505371,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03394055366516113,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03494143486022949,0.0,0.0,-0.0,0.0,0.0,-0.0
0.035955190658569336,0.0,0.0,-0.0,0.0,0.0,-0.0
0.036955833435058594,0.0,0.0,-0.0,0.0,0.0,-0.0
0.037940025329589844,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03893542289733887,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03993487358093262,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04096102714538574,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04194998741149902,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0429682731628418,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04396533966064453,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04501080513000488,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04594254493713379,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04700946807861328,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0480036735534668,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04900240898132324,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04993915557861328,0.0,0.0,-0.0,0.0,0.0,-0.0
0.050989389419555664,0.0,0.0,-0.0,0.0,0.0,-0.0
0.05196690559387207,0.0,0.0,-0.0,0.0,0.0,-0.0
0.05295968055725098,0.0,0.0,-0.0,0.0,0.0,-0.0
0.05393505096435547,0.0,0.0,-0.0,0.0,0.0,-0.0
0.05496501922607422,0.0,0.0,-0.0,0.0,0.0,-0.0
0.05599713325500488,0.0,0.0,-0.0,0.0,0.0,-0.0
0.05697965621948242,0.0,0.0,-0.0,0.0,0.0,-0.0
0.05795001983642578,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0589749813079834,0.0,0.0,-0.0,0.0,0.0,-0.0
0.06001448631286621,0.0,0.0,-0.0,0.0,0.0,-0.0
0.06100654602050781,0.0,0.0,-0.0,0.0,0.0,-0.0
0.06193804740905762,0.0,0.0,-0.0,0.0,0.0,-0.0
0.06300783157348633,0.0,0.0,-0.0,0.0,0.0,-0.0
0.06400585174560547,0.0,0.0,-0.0,0.0,0.0,-0.0
