time_s,force_x,force_y,force_z,torque_x,torque_y,torque_z
0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0009944438934326172,0.0,0.0,-0.0,0.0,0.0,-0.0
0.001996755599975586,0.0,0.0,-0.0,0.0,0.0,-0.0
0.002947092056274414,0.0,0.0,-0.0,0.0,0.0,-0.0
0.003945112228393555,0.0,0.0,-0.0,0.0,0.0,-0.0
0.004938364028930664,0.0,0.0,-0.0,0.0,0.0,-0.0
0.005938529968261719,0.0,0.0,-0.0,0.0,0.0,-0.0
0.006922483444213867,0.0,0.0,-0.0,0.0,0.0,-0.0
0.007924079895019531,0.0,0.0,-0.0,0.0,0.0,-0.0
0.008904695510864258,0.0,0.0,-0.0,0.0,0.0,-0.0
0.009924173355102539,0.0,0.0,-0.0,0.0,0.0,-0.0
0.010919570922851562,0.0,0.0,-0.0,0.0,0.0,-0.0
0.011932849884033203,0.0,0.0,-0.0,0.0,0.0,-0.0
0.012930870056152344,0.0,0.0,-0.0,0.0,0.0,-0.0
0.013894319534301758,0.0,0.0,-0.0,0.0,0.0,-0.0
0.014898061752319336,0.0,0.0,-0.0,0.0,0.0,-0.0
0.01589488983154297,0.0,0.0,-0.0,0.0,0.0,-0.0
0.01689004898071289,0.0,0.0,-0.0,0.0,0.0,-0.0
0.017895221710205078,0.0,0.0,-0.0,0.0,0.0,-0.0
0.01889801025390625,0.0,0.0,-0.0,0.0,0.0,-0.0
0.019965648651123047,0.0,0.0,-0.0,0.0,0.0,-0.0
0.020961761474609375,0.0,0.0,-0.0,0.0,0.0,-0.0
0.021956443786621094,0.0,0.0,-0.0,0.0,0.0,-0.0
0.02291417121887207,0.0,0.0,-0.0,0.0,0.0,-0.0
0.023892641067504883,0.0,0.0,-0.0,0.0,0.0,-0.0
0.024939298629760742,0.0,0.0,-0.0,0.0,0.0,-0.0
0.025960683822631836,0.0,0.0,-0.0,0.0,0.0,-0.0
0.026965856552124023,0.0,0.0,-0.0,0.0,0.0,-0.0
0.02796006202697754,0.0,0.0,-0.0,0.0,0.0,-0.0
0.02895975112915039,0.0,0.0,-0.0,0.0,0.0,-0.0
0.02996087074279785,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03095865249633789,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03192901611328125,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03288722038269043,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03389549255371094,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03488945960998535,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03595256805419922,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03696608543395996,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03795933723449707,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03896045684814453,0.0,0.0,-0.0,0.0,0.0,-0.0
0.039893150329589844,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04096674919128418,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04195904731750488,0.0,0.0,-0.0,0.0,0.0,-0.0
0.042958736419677734,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04393458366394043,0.0,0.0,-0.0,0.0,0.0,-0.0
0.044924020767211914,0.0,0.0,-0.0,0.0,0.0,-0.0
0.045958757400512695,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0469660758972168,0.0,0.0,-0.0,0.0,0.0,-0.0
0.04793524742126465,0.0,0.0,-0.0,0.0,0.0,-0.0
0.048949480056762695,0.0,0.0,-0.0,0.0,0.0,-0.0
0.0499570369720459,0.0,0.0,-0.0,0.0,0.0,-0.0
0.05095696449279785,0.0,0.0,-0.0,0.0,0.0,-0.0
0.051950931549072266,0.0,0.0,-0.0,0.0,0.0,-0.0
